experiment,condition,n_samples,seed,val_one_step_mse
E1,B,500,0,16.571570061903923
E1,B,500,1,16.399487171053718
E1,B,500,2,16.46344656073287
E1,B,1000,0,16.194248933280633
E1,B,1000,1,16.1226304834558
E1,B,1000,2,16.171261095708243
E1,B,2000,0,16.093514028022284
E1,B,2000,1,16.080014325808648
E1,B,2000,2,16.07734828316132
E1,B,5000,0,16.083777220235813
E1,B,5000,1,16.097930132381506
E1,B,5000,2,16.08451353682621
E1,B,10000,0,16.071233625160463
E1,B,10000,1,16.07493889057631
E1,B,10000,2,16.06233820999712
E1,B,20000,0,16.06090493091122
E1,B,20000,1,16.059137253179756
E1,B,20000,2,16.070578845625974
E1,B,50000,0,16.060190410965927
E1,B,50000,1,16.05688188647795
E1,B,50000,2,16.065701557578716
E1,B,100000,0,16.056988295962956
E1,B,100000,1,16.057019195993075
E1,B,100000,2,16.060999601266683
E1,B,200000,0,16.058359392017223
E1,B,200000,1,16.058359392017177
E1,B,200000,2,16.05835939201724
E1,P,500,0,0.561441096773889
E1,P,500,1,0.5577101511912146
E1,P,500,2,0.5609356077116172
E1,P,1000,0,0.5547458642792701
E1,P,1000,1,0.557005282386621
E1,P,1000,2,0.5555492541405667
E1,P,2000,0,0.5548526561571704
E1,P,2000,1,0.5555134564020271
E1,P,2000,2,0.5532491308931478
E1,P,5000,0,0.5559288152087751
E1,P,5000,1,0.5559208948746829
E1,P,5000,2,0.5566309262691898
E1,P,10000,0,0.5558540769256274
E1,P,10000,1,0.5560312561854582
E1,P,10000,2,0.5559535576552175
E1,P,20000,0,0.5559037901927304
E1,P,20000,1,0.5558758955432666
E1,P,20000,2,0.555911745117609
E1,P,50000,0,0.5558302985102328
E1,P,50000,1,0.5558280546932118
E1,P,50000,2,0.555832897631611
E1,P,100000,0,0.555824266716084
E1,P,100000,1,0.5558295858667066
E1,P,100000,2,0.5558275638333566
E1,P,200000,0,0.5558240018549307
E1,P,200000,1,0.5558240018549312
E1,P,200000,2,0.5558240018549304
E1,Q,500,0,0.8115436554771186
E1,Q,500,1,0.8079222529915665
E1,Q,500,2,0.8067115942260685
E1,Q,1000,0,0.7922855575949171
E1,Q,1000,1,0.7933198112060939
E1,Q,1000,2,0.7949577467302226
E1,Q,2000,0,0.7886118101706368
E1,Q,2000,1,0.7868701226087438
E1,Q,2000,2,0.785308786143528
E1,Q,5000,0,0.7869526872750262
E1,Q,5000,1,0.7868466734876243
E1,Q,5000,2,0.7875867736511164
E1,Q,10000,0,0.7867491386132547
E1,Q,10000,1,0.7867466415049374
E1,Q,10000,2,0.7868329569690802
E1,Q,20000,0,0.7867646752858346
E1,Q,20000,1,0.786824230687678
E1,Q,20000,2,0.7867672009022608
E1,Q,50000,0,0.7867608712671927
E1,Q,50000,1,0.7867679902758811
E1,Q,50000,2,0.7867651072645139
E1,Q,100000,0,0.7867661283599496
E1,Q,100000,1,0.786765612586404
E1,Q,100000,2,0.7867706573748715
E1,Q,200000,0,0.7867608895709648
E1,Q,200000,1,0.7867608895709658
E1,Q,200000,2,0.7867608895709648
E1,R,500,0,11502.123662620348
E1,R,500,1,12830.157979432166
E1,R,500,2,8934.24689138516
E1,R,1000,0,110.8193062070275
E1,R,1000,1,114.73824901067293
E1,R,1000,2,130.354227746562
E1,R,2000,0,24.729432660488687
E1,R,2000,1,26.596856764046244
E1,R,2000,2,26.8626984313305
E1,R,5000,0,16.942968454086884
E1,R,5000,1,15.814310931434036
E1,R,5000,2,16.319182823676023
E1,R,10000,0,14.751063229240184
E1,R,10000,1,14.83332511659417
E1,R,10000,2,14.82673002698195
E1,R,20000,0,14.285027115418318
E1,R,20000,1,14.27863981422023
E1,R,20000,2,14.37286029869234
E1,R,50000,0,14.111192046103094
E1,R,50000,1,14.113995105459708
E1,R,50000,2,14.1870020314037
E1,R,100000,0,14.019796828682981
E1,R,100000,1,14.036066192369617
E1,R,100000,2,14.02875982426999
E1,R,200000,0,13.965329799304557
E1,R,200000,1,13.965329800256914
E1,R,200000,2,13.965329799328329
E3,B,500,0,0.00640836020070027
E3,B,500,1,0.006306423880439363
E3,B,500,2,0.006539725968170686
E3,B,1000,0,0.006118623499466458
E3,B,1000,1,0.006203026765618071
E3,B,1000,2,0.006193009942857156
E3,B,2000,0,0.006091752287628731
E3,B,2000,1,0.00606066408039488
E3,B,2000,2,0.0061263151223374755
E3,B,5000,0,0.006040283677332776
E3,B,5000,1,0.006041315858869629
E3,B,5000,2,0.0060393806354681395
E3,B,10000,0,0.006035949451443708
E3,B,10000,1,0.0060281882371907005
E3,B,10000,2,0.006024777745894988
E3,B,20000,0,0.006030956958568318
E3,B,20000,1,0.00601886875337276
E3,B,20000,2,0.00601212027251147
E3,B,50000,0,0.006017901298276815
E3,B,50000,1,0.006014732755275092
E3,B,50000,2,0.006015085791808405
E3,B,100000,0,0.0060183507535606275
E3,B,100000,1,0.0060142171172048705
E3,B,100000,2,0.006015183808377081
E3,B,200000,0,0.006012205079813175
E3,B,200000,1,0.006012205079814065
E3,B,200000,2,0.006012205079807065
E3,P,500,0,0.00041624466540038336
E3,P,500,1,0.0004257961988436423
E3,P,500,2,0.00043494153997073766
E3,P,1000,0,0.0004061404324536164
E3,P,1000,1,0.00040847718567986745
E3,P,1000,2,0.0004118223898435281
E3,P,2000,0,0.00040559410540224087
E3,P,2000,1,0.00040824182020115824
E3,P,2000,2,0.0004043850941672724
E3,P,5000,0,0.0004038531851936149
E3,P,5000,1,0.0004029841906135853
E3,P,5000,2,0.0004041253385404999
E3,P,10000,0,0.0004033863581754503
E3,P,10000,1,0.00040322712776984736
E3,P,10000,2,0.0004028083377412933
E3,P,20000,0,0.0004025716197579047
E3,P,20000,1,0.00040248355894624576
E3,P,20000,2,0.00040268816953585834
E3,P,50000,0,0.00040233347596165556
E3,P,50000,1,0.00040209658561112785
E3,P,50000,2,0.0004023769010309432
E3,P,100000,0,0.00040212051079497495
E3,P,100000,1,0.0004020142224135624
E3,P,100000,2,0.00040200287181066705
E3,P,200000,0,0.000401950020041517
E3,P,200000,1,0.0004019500200415216
E3,P,200000,2,0.0004019500200415142
E3,R,500,0,0.0077174412345246335
E3,R,500,1,0.007114662562838488
E3,R,500,2,0.007506406656365277
E3,R,1000,0,0.006739769851119055
E3,R,1000,1,0.006606442342067163
E3,R,1000,2,0.006635726360980228
E3,R,2000,0,0.006140869992518102
E3,R,2000,1,0.006213466570904943
E3,R,2000,2,0.006181457531435293
E3,R,5000,0,0.006094714229114777
E3,R,5000,1,0.006082021074784249
E3,R,5000,2,0.006105806461941431
E3,R,10000,0,0.006023876403513534
E3,R,10000,1,0.006041185137129355
E3,R,10000,2,0.00600318903317764
E3,R,20000,0,0.005992837690970189
E3,R,20000,1,0.005993202563482503
E3,R,20000,2,0.005977747038704164
E3,R,50000,0,0.005994084677733219
E3,R,50000,1,0.005989186406185851
E3,R,50000,2,0.0059849443835004856
E3,R,100000,0,0.005990614195745296
E3,R,100000,1,0.005988167659078613
E3,R,100000,2,0.005986915818230471
E3,R,200000,0,0.005982920945647705
E3,R,200000,1,0.005982920945677699
E3,R,200000,2,0.005982920945650666
