condition,sigma,eval_time_s,num_rollouts,hover_success_rate,num_settled,mean_settling_time_s,mean_control_energy,mean_final_position_error,mean_final_attitude_error,failed_due_to_crash,failed_due_to_timeout
B,0.0,108.00209712982178,20,1.0,20,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,3.915233530381171e-10,0,0
B,0.05,105.06279802322388,20,1.0,20,1.061,0.6987873484750078,0.04170004242524201,0.021438536537535316,0,0
B,0.1,117.85759782791138,20,0.75,15,3.252,1.339323343168549,0.12025203017242414,0.043217811736849784,0,5
B,0.2,126.04991507530212,20,0.0,0,nan,4.1848566104631155,0.17964365553209055,0.07123820861411097,0,20
P,0.0,101.39291787147522,20,1.0,20,1.0859999999999999,0.5808474520077523,1.6359803705303353e-05,1.5751158431473005e-06,0,0
P,0.05,85.61364483833313,20,1.0,20,1.6510000000000002,0.8338251337585041,0.0478564892115314,0.01918393888667353,0,0
P,0.1,88.22109079360962,20,0.55,11,4.270909090909092,1.5657362612719603,0.14111712977066956,0.04528602067024821,0,9
P,0.2,92.4675681591034,20,0.0,0,nan,4.702034193009326,0.18859879895375078,0.07319111735020604,0,20
Q,0.0,86.33809208869934,20,1.0,20,0.647,2.5939060738475086,6.450434903095198e-09,6.690092261159002e-09,0,0
Q,0.05,90.42374992370605,20,1.0,20,0.733,4.10149207376968,0.027516036881663885,0.028090119773396104,0,0
Q,0.1,108.39892411231995,20,0.95,19,2.8747368421052633,8.282777512064062,0.07082729382640925,0.05111116531105887,0,1
Q,0.2,113.41640901565552,20,0.0,0,nan,27.10449060594276,0.12444339888140765,0.09009117878971346,0,20
