condition,data_seed,n_basis,active_terms,one_step_mse,rollout_mse_10,rollout_mse_50,fit_time_s
B,0,165,12,16.027164741400817,0.5851755762315098,6.880442433528419,3.782456874847412
P,0,29,12,0.569919559567965,0.0006766894435606874,0.008944718248534038,0.34958529472351074
Q,0,29,11,0.7948815846441433,0.005344412099274823,0.044245516429081935,0.40090489387512207
B,7,165,11,16.01577894508012,0.581723543976404,7.142512795625792,3.730041265487671
P,7,29,12,0.7059208945407575,0.000713041232128597,0.008794275192081666,0.35221195220947266
Q,7,29,10,0.9303654697105339,0.00497783394538926,0.039293375194294565,0.41103410720825195
B,13,165,15,15.979001326975661,0.5752422725736882,6.815821867343892,4.0124852657318115
P,13,29,12,0.5269450104190424,0.0006189633268384442,0.00815449719970167,0.3397810459136963
Q,13,29,11,0.7555854397028505,0.00391711780778542,0.03286960727302871,0.38752198219299316
B,42,165,19,16.028530945122334,0.5651345668158939,6.794884335357664,3.9432551860809326
P,42,29,12,0.7002786268247633,0.0006484523666665997,0.007308054716556143,0.3524167537689209
Q,42,29,11,0.9344017613292152,0.0048974960593322495,0.039039783601892995,0.41096019744873047
B,99,165,8,16.007348398607586,0.5903906007371715,6.668742190970795,3.9058730602264404
P,99,29,12,0.6489146461693664,0.0005968715912624745,0.006818472823439158,0.34520506858825684
Q,99,29,11,0.8765256435506711,0.006271854097681591,0.039798373419409484,0.3954496383666992
