basis_name,threshold,data_seed,n_basis,active_terms,one_step_mse,rollout_mse_10,rollout_mse_50,fit_time_s
perfect_7,0.001,0,7,18,0.5552021442399853,0.0006690993015513293,0.0070428526262494365,0.19317626953125
perfect_7,0.01,0,7,10,0.5690307642633974,0.0007368882896427592,0.008983383371608733,0.19241976737976074
perfect_7,0.1,0,7,8,0.5699183327842534,0.0006768282826070219,0.00894434549354299,0.1883227825164795
perfect_10,0.001,0,10,22,0.5524574209208226,0.000956747865980481,0.010006701791502362,0.21208500862121582
perfect_10,0.01,0,10,10,0.5690307642633974,0.0007368882896427592,0.008983383371608733,0.20136213302612305
perfect_10,0.1,0,10,8,0.5699183327842534,0.0006768282826070219,0.00894434549354299,0.19566702842712402
poly_d1,0.001,0,9,23,15.678560294196473,0.3110018563728993,5.231237627240394,0.2212657928466797
poly_d1,0.01,0,9,19,15.670954912377468,0.3107992691973651,5.235793797886573,0.20239925384521484
poly_d1,0.1,0,9,10,16.023200189064646,0.5854983943901819,6.910364997762138,0.19670319557189941
poly_d2,0.001,0,45,52,15.030522819485135,0.20622247343794403,4.462333926428102,0.8532180786132812
poly_d2,0.01,0,45,26,15.667154759153382,0.31131665574680556,5.2514767677159,0.7489519119262695
poly_d2,0.1,0,45,8,16.02121514100243,0.5859957358915926,6.89284965528685,0.741828203201294
poly_d3,0.001,0,165,118,15.036706849589235,0.20620740226912634,4.458249101373746,3.4554738998413086
poly_d3,0.01,0,165,41,15.679302596228537,0.3114189408557682,5.251928614819893,3.1789066791534424
poly_d3,0.1,0,165,12,16.027164741400817,0.5851755762315098,6.880442433528419,3.098623037338257
p_qwen_plus_01,0.001,0,29,40,0.552146507091286,0.00046257866991453444,0.006163001745187592,0.34046483039855957
p_qwen_plus_01,0.01,0,29,25,0.554370542177836,0.0005123581945474681,0.007204639804060858,0.2990577220916748
p_qwen_plus_01,0.1,0,29,12,0.569919559567965,0.0006766894435606874,0.008944718248534038,0.2726559638977051
q_qwen_local_01,0.001,0,29,67,0.7721793072758297,0.0032106300246771786,0.03977012238196456,0.40806102752685547
q_qwen_local_01,0.01,0,29,38,0.7794631047666096,0.005000328929044553,0.04155080715099098,0.36441612243652344
q_qwen_local_01,0.1,0,29,11,0.7948815846441433,0.005344412099274823,0.044245516429081935,0.3230628967285156
perfect_7,0.001,7,7,17,0.6987345541203396,0.0007828135036061387,0.007520926923203924,0.20878887176513672
perfect_7,0.01,7,7,10,0.7050169712214892,0.0007766454708188215,0.009252730505248994,0.2006697654724121
perfect_7,0.1,7,7,8,0.7059303478072702,0.0007154489922929632,0.008796801864842973,0.19377899169921875
perfect_10,0.001,7,10,20,0.69717539188595,0.0010890697800842036,0.010204606093529198,0.2286548614501953
perfect_10,0.01,7,10,10,0.7050169712214892,0.0007766454708188215,0.009252730505248994,0.20580410957336426
perfect_10,0.1,7,10,8,0.7059303478072702,0.0007154489922929632,0.008796801864842973,0.1970841884613037
poly_d1,0.001,7,9,25,15.574511551220803,0.30557454546677,4.933433268556926,0.2141110897064209
poly_d1,0.01,7,9,15,15.582815419963833,0.30530223912260884,4.965825179234272,0.21128606796264648
poly_d1,0.1,7,9,8,16.00864444325385,0.583926368563028,7.1325448826689914,0.20381474494934082
poly_d2,0.001,7,45,67,14.951103217210914,0.19288973238039597,4.175150580098264,0.8356330394744873
poly_d2,0.01,7,45,26,15.600225715147054,0.304242297031375,4.970231171992186,0.7621479034423828
poly_d2,0.1,7,45,11,16.01577894508012,0.581723543976404,7.142512795625792,0.7482361793518066
poly_d3,0.001,7,165,120,14.965124808541457,0.20075138091291392,4.148076074120973,3.49765682220459
poly_d3,0.01,7,165,37,15.606232392435844,0.3042734867943442,4.962545822652774,3.274496078491211
poly_d3,0.1,7,165,11,16.01577894508012,0.581723543976404,7.142512795625792,3.37306809425354
