condition,init_seed,success_rate,mean_settling_time_s,mean_control_energy
B,0,1.0,0.8200000000000001,0.4747175688467339
P,0,1.0,1.11,1.1081776505553476
Q,0,1.0,0.8200000000000001,0.4747175688467339
B,7,1.0,0.753,0.2808512801890625
P,7,1.0,1.111,0.5539733244510846
Q,7,1.0,0.753,0.2808512801890625
B,13,1.0,0.866,0.40101034957752607
P,13,1.0,1.218,0.8266973861756901
Q,13,1.0,0.866,0.40101034957752607
B,42,1.0,0.738,0.3508100093894303
P,42,1.0,0.9540000000000001,0.7244771461790901
Q,42,1.0,0.738,0.3508100093894303
B,99,1.0,0.762,0.32957389563450706
P,99,1.0,1.0390000000000001,0.6655498198288172
Q,99,1.0,0.762,0.32957389563450706
