task,condition,paraphrase_id,emitted_code,quality_metric_name,primary_metric_value,status,llm_call_time_s,llm_total_tokens
E1,P,0,1,val_one_step_mse,0.5525250150378141,ok,16.35,1045
E1,Q,0,0,val_one_step_mse,,sandbox_failed,115.54,0
E1,P,1,1,val_one_step_mse,0.5707143168754326,ok,13.32,888
E1,Q,1,0,val_one_step_mse,,sandbox_failed,106.29,0
E1,P,2,1,val_one_step_mse,0.5525250150378134,ok,9.65,672
E1,Q,2,0,val_one_step_mse,,sandbox_failed,109.93,0
E1,P,3,1,val_one_step_mse,0.5558233269153723,ok,11.08,727
E1,Q,3,0,val_one_step_mse,,sandbox_failed,105.69,0
E1,P,4,1,val_one_step_mse,0.5707149918149891,ok,13.1,816
E1,Q,4,0,val_one_step_mse,,sandbox_failed,102.39,0
E2,P,0,1,control_energy,1.748111811202227,ok,6.62,570
E2,Q,0,0,control_energy,,sandbox_failed,223.22,0
E2,P,1,1,control_energy,1.7586052420001164,ok,3.64,429
E2,Q,1,0,control_energy,,build_failed,241.64,0
E2,P,2,1,control_energy,1.7586052420001164,ok,6.36,510
E2,Q,2,0,control_energy,,sandbox_failed,240.85,0
E2,P,3,1,control_energy,1.759801737311393,ok,8.88,635
E2,Q,3,0,control_energy,,sandbox_failed,271.35,0
E2,P,4,1,control_energy,1.7730049227510147,ok,7.27,565
E2,Q,4,1,control_energy,10.375722567442462,ok,235.52,0
E3,P,0,1,val_one_step_mse,0.000406278115174673,ok,14.86,933
E3,Q,0,0,val_one_step_mse,,sandbox_failed,258.51,0
E3,P,1,1,val_one_step_mse,0.000406278115174592,ok,14.27,902
E3,Q,1,0,val_one_step_mse,,sandbox_failed,235.48,0
E3,P,2,1,val_one_step_mse,0.00031074376433800797,ok,8.1,584
E3,Q,2,1,val_one_step_mse,0.004192570434915843,ok,251.22,0
E3,P,3,1,val_one_step_mse,0.0004081042126553825,ok,6.88,534
E3,Q,3,0,val_one_step_mse,,sandbox_failed,254.7,0
E3,P,4,1,val_one_step_mse,0.0001961459015220954,ok,10.99,691
E3,Q,4,0,val_one_step_mse,,sandbox_failed,255.47,0
E4,P,0,1,control_energy,0.10476925133064645,ok,8.5,651
E4,Q,0,0,control_energy,,sandbox_failed,313.59,0
E4,P,1,1,control_energy,0.20673257813946772,ok,10.59,709
E4,Q,1,0,control_energy,,sandbox_failed,304.85,0
E4,P,2,1,control_energy,0.13929658954667543,ok,9.83,627
E4,Q,2,0,control_energy,,sandbox_failed,331.05,0
E4,P,3,1,control_energy,0.25428168652050775,ok,10.91,728
E4,Q,3,1,control_energy,0.17825441051960506,ok,86.72,0
E4,P,4,1,control_energy,0.17298612467464142,ok,13.19,617
E4,Q,4,0,control_energy,,sandbox_failed,353.4,0
